steps,return
11200.0,19.41818160951009
22400.0,20.579628297821156
33600.0,21.286460891804452
44800.0,22.03050149182159
56000.0,22.528903994653074
67200.0,22.998979906489463
78400.0,23.28005983708361
89600.0,23.65155487773151
100800.0,23.86500680199236
112000.0,23.98180321329544
123200.0,24.080643490344595
134400.0,24.219361604219213
145600.0,24.32226363218601
156800.0,24.27889984174773
168000.0,24.24331113914775
179200.0,24.302071619353665
190400.0,24.295333365704188
201600.0,24.244036978384873
212800.0,24.194430558071648
224000.0,24.275302709392346
235200.0,24.27522660799454
246400.0,24.51250577655943
257600.0,24.415831295237158
268800.0,24.401422416106588
280000.0,24.595888084042574
291200.0,24.66646347730749
302400.0,24.804677147691894
313600.0,24.827198898486856
324800.0,24.705140939233807
336000.0,24.852281758356742
347200.0,24.741649407147428
358400.0,24.785336213312757
369600.0,24.74512693423598
380800.0,24.729928511112952
392000.0,24.76993980650151
403200.0,24.72164280658759
414400.0,24.723744676138306
425600.0,24.78504247383139
436800.0,24.69976326361402
448000.0,24.794974256527308
459200.0,24.745417738156398
470400.0,24.762757256125358
481600.0,24.78288034554517
492800.0,24.746928336091216
504000.0,24.506731046199
515200.0,24.48393356419348
526400.0,24.382896162172077
537600.0,24.003958248188674
548800.0,24.319591678308285
560000.0,24.243865372248067
571200.0,24.328570888479966
582400.0,24.643246979545804
593600.0,24.695591974999793
604800.0,24.71775183856073
616000.0,24.754941056121822
627200.0,24.755566215368685
638400.0,24.885590184390733
