steps,return
1440.0,0.830576980381718
2880.0,0.8986110820399903
4320.0,0.9784231640584562
5760.0,1.0646815647042125
7200.0,1.1836705846229756
8640.0,1.3465299442129988
10080.0,1.4339725192726493
11520.0,1.518354058465507
12960.0,1.5917575839446196
14400.0,1.6369762598784021
15840.0,1.689686956656817
17280.0,1.7652355148034067
18720.0,1.8224653136746114
20160.0,1.8668870814547924
21600.0,1.9161868288884658
23040.0,1.9480193812525712
24480.0,1.9814761394723013
25920.0,2.0126218088566685
27360.0,2.052724415943905
28800.0,2.069531042163086
30240.0,2.08694175312892
31680.0,2.1123648803608397
33120.0,2.1271119763844992
34560.0,2.1399674784212324
36000.0,2.1451403584075006
37440.0,2.1648281399861866
38880.0,2.1731035048427647
40320.0,2.172843600610849
41760.0,2.1873989068171267
43200.0,2.1908814027240515
44640.0,2.188297833907496
46080.0,2.187970483671089
47520.0,2.199097821594809
48960.0,2.1990670663240914
50400.0,2.201503039637386
51840.0,2.2146876318045625
53280.0,2.22001388872035
54720.0,2.2233956571179174
56160.0,2.224345273500406
57600.0,2.2348137479691594
59040.0,2.235669472823486
60480.0,2.2330720474026657
61920.0,2.2436602782463924
63360.0,2.243107593495912
64800.0,2.2420315179351897
66240.0,2.243515499552269
67680.0,2.251582511057983
69120.0,2.2505742383544205
70560.0,2.248532604592895
72000.0,2.2553363082908042
73440.0,2.2546011641128416
74880.0,2.251871004344676
76320.0,2.2523468740076478
77760.0,2.2562130557997047
79200.0,2.2547762016027306
