steps,return
5600.0,2.6188019694771487
11200.0,2.8566458140159323
16800.0,3.105999146114023
22400.0,3.378798657008786
28000.0,3.5113544806521473
33600.0,3.620256332792182
39200.0,3.7978812487288995
44800.0,3.8910682107073638
50400.0,4.006429406330593
56000.0,4.027876973625066
61600.0,4.045147345290869
67200.0,4.2008410107028435
72800.0,4.144703100481296
78400.0,4.237786538270822
84000.0,4.188857762611288
89600.0,4.340004603678977
95200.0,4.294727704444202
100800.0,4.4573493450705435
