steps,return
4480.0,0.8988548082111285
8960.0,1.0569855136795305
13440.0,1.5769767055892763
17920.0,0.7393239302026121
22400.0,0.7883204060760518
26880.0,1.4271648055350634
31360.0,2.5006070674044563
35840.0,3.3466786387677603
40320.0,1.6718950687050484
44800.0,1.2903744312707461
49280.0,1.9899135246834105
53760.0,3.0560984069405426
58240.0,2.425977756125445
62720.0,1.7830389362553276
67200.0,2.7835599391303854
71680.0,0.7892914401665474
76160.0,1.5934992498130454
80640.0,2.1417206852225648
85120.0,0.9949076204411063
