steps,return
6720.0,6.6439847782003865
13440.0,3.591378275408184
20160.0,0.6916817178595263
26880.0,5.796940303086896
33600.0,2.9697395683722734
40320.0,9.022953212770192
47040.0,2.7661381023231906
53760.0,4.937229649834302
60480.0,4.886628777850339
67200.0,0.9233792267560514
73920.0,1.1635682174282451
80640.0,4.875074316785635
87360.0,1.608266782279808
94080.0,4.385213291055365
100800.0,0.9504400501125391
107520.0,3.2558683961531543
114240.0,2.946418043431923
120960.0,4.069625609849537
127680.0,3.7269447716046398
134400.0,5.169345493982639
141120.0,3.2323153662150523
