95,5921,9233,9033,5545,4419,9521,10490,6311,6340,10979,5124,9900
96,5911,9223,8985,5517,4467,9568,10500,6340,6349,10969,5124,9891
97,5892,9194,8947,5469,4505,9606,10529,6359,6369,10969,5124,9881
98,5853,9165,8898,5440,4543,9654,10539,6378,6369,10959,5134,9881
0,5853,9136,8850,5382,4581,9692,10549,6397,6369,10969,5134,9872
1,5834,9097,8802,5373,4609,9730,10558,6426,6369,10969,5144,9862
2,5824,9078,8763,5334,4657,9777,10558,6436,6378,10979,5144,9852
3,5795,9049,8725,5325,4695,9825,10578,6455,6388,10979,5144,9843
5,5775,9030,8676,5315,4742,9863,10597,6484,6397,10998,5144,9824
6,5756,8991,8638,5315,4790,9910,10626,6503,6407,10998,5134,9804
7,5736,8962,8609,5325,4818,9929,10655,6541,6426,11017,5134,9795
8,5727,8933,8580,5334,4856,9967,10675,6560,6435,11027,5134,9766
10,5707,8904,8561,5363,4894,9967,10704,6599,6435,11037,5124,9757
11,5668,8875,8570,5382,4923,9967,10743,6628,6445,11056,5115,9747
12,5630,8836,8570,5392,4961,9967,10781,6666,6445,11085,5115,9728
13,5600,8807,8570,5401,4961,9948,10810,6695,6455,11095,5086,9718
15,5581,8778,8599,5449,4980,9920,10849,6704,6455,11114,5076,9718
16,5553,8749,8619,5449,4980,9901,10878,6723,6455,11133,5067,9709
17,5516,8710,8648,5469,4980,9882,10917,6733,6445,11133,5067,9709
18,5488,8691,8657,5497,4970,9863,10966,6733,6445,11133,5047,9709
20,5460,8691,8676,5517,4961,9844,10985,6723,6435,11143,5038,9718
21,5441,8710,8696,5536,4951,9815,11024,6695,6426,11143,5018,9718
22,5422,8749,8705,5555,4923,9787,11053,6675,6416,11153,5018,9747
23,5394,8787,8715,5593,4894,9758,11072,6647,6388,11143,5009,9757
25,5394,8836,8715,5612,4885,9730,11082,6608,6378,11153,4980,9776
26,5404,8875,8734,5622,4856,9711,11092,6560,6369,11162,4970,9804
27,5404,8913,8763,5651,4818,9682,11082,6512,6340,11172,4970,9833
28,5432,8962,8792,5680,4799,9654,11063,6464,6349,11182,4961,9872
30,5460,9000,8812,5699,4790,9616,11053,6407,6340,11191,4951,9891
31,5497,9039,8840,5709,4742,9587,11004,6359,6330,11191,4941,9900
32,5525,9068,8850,5719,4723,9559,10975,6311,6321,11191,4941,9920
33,5581,9117,8879,5738,4695,9521,10946,6273,6302,11191,4941,9948
35,5630,9165,8898,5757,4657,9492,10907,6215,6302,11201,4941,9958
36,5668,9194,8918,5767,4628,9454,10878,6157,6283,11201,4941,9967
37,5707,9223,8927,5796,4609,9427,10849,6119,6283,11201,4932,9977
38,5756,9252,8947,5816,4581,9388,10810,6071,6273,11201,4941,9987
40,5795,9291,8956,5845,4562,9368,10781,6023,6264,11211,4941,9987
41,5834,9359,8966,5845,4524,9339,10733,5994,6264,11211,4941,9987
42,5853,9407,8976,5874,4495,9310,10684,5946,6264,11211,4941,9996
43,5902,9454,8995,5903,4467,9291,10655,5898,6254,11211,4941,10006
45,5921,9502,9005,5912,4448,9272,10617,5860,6235,11220,4941,10006
46,5970,9540,9024,5951,4410,9252,10578,5822,6225,11220,4941,10006
47,5999,9578,9024,5961,4400,9233,10539,5764,6216,11211,4941,10006
48,6047,9616,9053,5990,4372,9204,10490,5735,6225,11220,4941,10006
50,6077,9654,9062,6019,4353,9194,10461,5697,6225,11211,4941,10006
51,6125,9692,9082,6019,4343,9175,10432,5668,6225,11220,4941,10006
52,6174,9739,9091,6038,4305,9146,10394,5659,6225,11230,4932,10006
53,6222,9796,9101,6077,4296,9126,10355,5659,6235,11230,4932,10006
55,6281,9834,9130,6087,4277,9107,10326,5649,6235,11230,4941,9996
56,6320,9882,9149,6125,4248,9078,10297,5649,6244,11230,4941,9996
57,6378,9920,9169,6145,4229,9059,10287,5659,6264,11220,4932,9996
58,6417,9948,9178,6164,4229,9039,10277,5659,6273,11220,4941,9996
60,6456,9967,9217,6193,4191,9010,10258,5678,6264,11220,4941,9996
61,6495,9996,9246,6242,4172,8981,10238,5697,6264,11220,4941,9996
62,6524,9996,9294,6271,4144,8942,10248,5716,6264,11230,4941,10006
63,6553,9996,9313,6309,4115,8923,10238,5735,6264,11240,4941,10006
65,6563,9986,9361,6319,4068,8884,10238,5755,6264,11249,4941,10006
66,6563,9958,9390,6338,4030,8855,10248,5764,6254,11249,4941,10006
67,6553,9939,9448,6348,4001,8816,10238,5793,6254,11240,4941,10006
68,6533,9910,9467,6338,3973,8787,10238,5822,6254,11240,4941,10006
70,6514,9882,9496,6348,3935,8768,10248,5841,6254,11240,4941,10006
71,6504,9844,9544,6309,3906,8758,10248,5860,6254,11259,4941,10006
72,6456,9796,9563,6290,3887,8739,10258,5889,6244,11249,4932,10006
73,6436,9787,9563,6242,3887,8758,10277,5898,6244,11259,4932,10006
75,6417,9739,9592,6222,3878,8787,10287,5927,6244,11259,4912,9996
76,6388,9720,9601,6174,3887,8826,10287,5956,6244,11259,4903,9996
77,6339,9673,9582,6145,3916,8865,10287,5985,6254,11269,4903,9996
78,6310,9644,9563,6087,3954,8913,10306,6004,6264,11249,4912,9996
80,6271,9616,9544,6038,3992,8942,10326,6023,6264,11230,4903,9996
81,6252,9578,9496,5990,4030,8991,10345,6052,6264,11220,4922,9987
82,6213,9549,9457,5951,4068,9030,10355,6071,6273,11201,4932,9987
83,6193,9511,9410,5903,4115,9068,10355,6100,6273,11182,4961,9987
85,6145,9492,9371,5864,4163,9117,10384,6129,6283,11153,4970,9977
86,6125,9454,9304,5825,4191,9155,10394,6157,6283,11133,4990,9977
87,6096,9427,9275,5787,4239,9194,10413,6177,6292,11104,5018,9958
88,6067,9388,9236,5757,4277,9243,10432,6205,6302,11085,5028,9948
90,6047,9359,9197,5719,4315,9291,10442,6225,6311,11066,5057,9948
91,6009,9330,9159,5680,4353,9330,10461,6253,6321,11027,5067,9939
92,5979,9301,9111,5622,4381,9378,10481,6282,6321,10998,5076,9920
93,5960,9272,9082,5593,4410,9407,10490,6292,6330,10988,5115,9920
95,5931,9233,9033,5545,4448,9454,10500,6321,6330,10979,5115,9900
96,5911,9213,8985,5517,4486,9511,10529,6340,6330,10969,5124,9900
97,5882,9184,8947,5469,4533,9559,10539,6368,6340,10969,5134,9891
98,5853,9155,8898,5440,4571,9606,10549,6388,6340,10969,5144,9881
0,5843,9126,8860,5382,4619,9654,10549,6416,6349,10969,5144,9881
1,5834,9097,8831,5382,4657,9692,10558,6436,6369,10959,5134,9872
2,5804,9068,8783,5334,4704,9730,10568,6445,6378,10969,5144,9852
3,5795,9049,8734,5325,4742,9768,10587,6484,6397,10979,5144,9843
5,5775,9030,8705,5315,4790,9825,10597,6503,6397,10979,5134,9824
6,5756,8991,8648,5315,4818,9863,10626,6532,6407,10998,5144,9814
7,5727,8962,8609,5315,4866,9901,10646,6551,6416,11017,5134,9795
8,5717,8942,8580,5325,4913,9920,10675,6580,6426,11027,5134,9785
10,5688,8913,8570,5344,4961,9929,10694,6608,6435,11037,5124,9766
11,5659,8875,8561,5373,4989,9929,10743,6656,6435,11066,5115,9747
12,5630,8846,8570,5392,5018,9920,10772,6685,6435,11095,5115,9737
13,5600,8807,8580,5411,5046,9920,10810,6704,6445,11114,5086,9718
15,5581,8778,8609,5440,5046,9901,10849,6733,6445,11133,5076,9718
16,5544,8749,8628,5449,5046,9882,10878,6743,6445,11133,5076,9709
17,5506,8710,8657,5469,5037,9863,10917,6743,6445,11133,5067,9709
18,5488,8681,8667,5507,5018,9825,10956,6733,6435,11143,5057,9709
20,5460,8691,8686,5517,4999,9806,10995,6733,6435,11143,5038,9718
21,5441,8710,8696,5536,4989,9777,11014,6714,6426,11143,5028,9728
22,5422,8749,8705,5564,4961,9749,11053,6685,6407,11133,5018,9747
23,5394,8787,8725,5593,4932,9720,11072,6656,6397,11143,5009,9747
25,5385,8836,8734,5603,4904,9692,11101,6608,6397,11153,4999,9776
26,5385,8875,8763,5612,4875,9663,11101,6560,6388,11162,4980,9814
27,5404,8923,8773,5632,4847,9635,11092,6522,6378,11172,4970,9833
28,5432,8962,8812,5651,4818,9606,11063,6464,6349,11182,4970,9872
30,5460,8991,8831,5680,4790,9578,11043,6426,6340,11191,4961,9881
31,5497,9030,8850,5690,4742,9540,11004,6368,6330,11191,4951,9910
32,5553,9068,8860,5709,4723,9511,10975,6321,6311,11201,4941,9920
33,5591,9097,8889,5728,4695,9483,10936,6282,6302,11191,4932,9958
35,5639,9136,8908,5738,4657,9454,10907,6234,6283,11191,4941,9958
36,5668,9175,8918,5767,4628,9417,10859,6177,6264,11201,4941,9977
37,5717,9233,8947,5787,4600,9388,10840,6138,6264,11201,4932,9987
38,5756,9281,8956,5816,4562,9368,10791,6081,6264,11201,4941,9987
40,5795,9330,8966,5845,4543,9330,10762,6042,6264,11211,4941,9996
41,5834,9378,8976,5864,4505,9310,10723,6004,6264,11211,4941,9996
42,5853,9417,8985,5883,4486,9291,10675,5966,6244,11211,4941,10006
43,5902,9454,9005,5903,4448,9262,10646,5908,6235,11211,4941,10006
45,5931,9502,9014,5922,4438,9243,10597,5879,6225,11220,4941,10006
46,5970,9530,9033,5951,4410,9223,10558,5831,6225,11220,4932,10015
47,6009,9568,9053,5970,4391,9194,10520,5793,6225,11220,4941,10006
48,6047,9616,9062,5990,4362,9175,10481,5755,6225,11211,4941,10015
50,6096,9663,9062,6009,4353,9155,10432,5707,6225,11211,4941,10006
51,6135,9711,9082,6038,4334,9136,10403,5678,6225,11220,4941,10006
52,6193,9749,9082,6038,4305,9107,10355,5668,6235,11220,4941,10006
53,6242,9796,9101,6067,4296,9078,10335,5659,6244,11220,4941,10006
55,6290,9834,9130,6087,4286,9059,10297,5659,6254,11220,4941,9996
56,6329,9882,9149,6125,4248,9039,10287,5659,6264,11220,4941,9996
57,6378,9920,9159,6145,4239,9010,10248,5659,6264,11220,4941,9996
58,6417,9977,9178,6164,4220,8981,10238,5668,6273,11211,4941,9996
60,6456,9986,9207,6193,4201,8962,10229,5697,6264,11220,4941,9996
61,6495,9996,9246,6242,4172,8933,10229,5707,6264,11220,4941,9996
62,6524,9996,9284,6271,4153,8904,10219,5726,6254,11211,4941,10006
63,6553,9996,9304,6309,4115,8875,10219,5745,6254,11230,4941,10006
65,6563,9986,9352,6329,4068,8836,10229,5764,6254,11230,4941,10006
66,6563,9967,9381,6348,4030,8807,10219,5783,6254,11240,4941,10006
67,6553,9939,9438,6358,3992,8768,10229,5802,6244,11249,4932,10015
68,6533,9910,9457,6348,3963,8749,10219,5831,6244,11249,4932,10006
